Height,ArmSpan
172,168
168,165
165,172
172,175
178,178
187,176
167,159
158,158
153,162
177,173
179,180
182,181
166,150
172,174
174,162
184,185
160,165
163,169
164,167
164,159
163,163
157,163
173,173
172,170
158,150
158,160
166,177
156,156
170,181
167,160
156,160
155,130
175,163
171,172
178,178
183,172
166,160
154,154
175,177
162,164
163,145
184,186
170,166
162,164
167,164
173,161
200,200
158,150
183,192
160,160
179,184
180,185
173,173
165,161
185,195
162,156
188,192
165,170
169,169
160,167
155,155
162,162
172,166
170,175
178,182
158,158
153,157
166,167
165,170
175,175
163,163
164,161
127,142
160,156
180,191
178,176
165,165
165,172
200,200
158,188
165,165
164,167
171,165
210,210
179,180
185,185
180,180
170,162
142,118
164,164
158,146
153,165
180,180
170,169
169,160
175,178
169,170
173,170
159,160
168,167
173,180
167,167
183,184
174,175
183,192
156,173
195,200
157,156
164,167
188,179
171,176
153,150
164,161
170,173
187,180
172,169
168,170
150,148
168,168
183,180
169,178
167,168
166,162
162,162
167,180
170,178
163,155
169,165
165,164
151,102
154,145
155,148
173,172
167,150
157,158
159,159
175,167
154,164
168,166
179,150
170,173
174,173
145,143
173,160
159,167
185,180
163,163
178,181
153,149
161,152
152,154
158,158
172,175
148,145
168,163
157,147
166,177
170,178
157,161
150,148
180,180
151,150
169,173
177,177
170,167
157,154
175,173
176,185
159,154
156,175
160,160
180,178
170,175
200,200
153,167
167,161
159,153
151,155
150,150
170,165
170,159
157,160
188,193
161,157
162,161
160,146
163,165
122,125
154,158
145,160
180,182
170,168
155,150
165,162
180,176
180,182
155,155
160,157
181,177
166,171